Series Name,Series Code,Country Name,Country Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000]
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Albania,ALB,..,..,..,..,..,..,..,..,..,..,207060.081949942,214614.976621904,216322.968604428,214123.391960506,207041.266761901,206439.614471583,213901.695441229,208020.476069406,201233.761577374,215166.417077377,191093.802099593,138415.31604419,129248.690853421,142470.766467315,155250.054652543,177023.092248408,194336.269098207,174200.884260331,190778.684302212,216739.979535367,233277.288609002
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Algeria,DZA,268375.187611695,232662.185999121,289702.788178852,293697.527881741,308061.072502762,311851.149873079,322112.954928197,326512.35538857,346519.294768312,361477.274589542,353206.469825199,352297.535397647,362685.835227991,369665.085154992,377385.101981767,378274.901586574,367345.891627564,353893.64946754,340861.075452734,346615.761352766,340782.46782653,328759.090315818,326989.367927378,313030.402842665,303743.059349309,309295.594788852,316348.99426365,314496.943886373,325580.828733004,331333.408038197,339134.919094536
GDP per capita (constant LCU),NY.GDP.PCAP.KN,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Andorra,AND,38449.8041369587,37478.5215838102,37852.269880431,38189.4113286599,37837.80288659,35789.8382908828,34884.7279408753,33956.5413842127,32734.5728310923,31244.1889198055,30616.9570947179,29438.8863357396,28561.7974143738,27748.8756702612,27072.9878452384,26672.0461389212,26455.2119877206,26732.7682124488,26952.2565936279,27167.1980015105,27178.6953293883,26932.9959952376,26305.8307002077,25210.1849347488,25015.5626914822,24932.9153953725,25596.394219527,27686.4800098946,28350.1027828061,29301.3784174853,30132.3811973312
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Angola,AGO,..,..,..,..,..,..,..,..,..,..,49684.1055866792,45839.3766568031,44221.9611916731,44442.3177028228,45438.6162349384,45364.3354280541,45044.6917312182,45298.9777443677,46483.5346100784,44961.2394932015,41981.9237320476,41011.0909990284,37382.3092518373,27532.3983549965,27022.8779966411,30070.632312394,33025.2096069414,34265.4777580692,34715.7008157292,34346.7684236532,34266.0721912605
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,16645.5646572358,17317.9831383465,18636.1160528236,20070.1106936213,20775.8956927177,20709.1157892399,21760.9093425628,23989.7762995733,25948.160624982,29080.8122251946,31180.7944688529,32996.5620970667,34918.4632176447,36145.0507469404,36754.1805072265,36590.5770271255,37834.96832469,39616.122201056,37154.4859931786,38813.8796912397,40121.3769810176,41235.5963964342,42040.9099090909,43914.8041312179
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Argentina,ARG,11230.703127061,11679.720711549,11682.113574753,11814.8332868916,12258.3809922092,12053.2335055345,11623.6800659651,12232.6217476523,11495.361385518,12469.3079568857,12459.6414055078,11627.762576575,11362.0507118234,11672.8175737479,11675.3131973485,10903.2138452157,11400.5218586534,11533.3025888624,11236.851521098,10278.582778038,9880.04204928068,10629.9372076094,11315.5759312697,12079.0941198875,12613.004669704,12093.742302076,12602.2802134721,13462.1742574004,13819.5071563521,13198.7193992224,12947.0214703367
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,733139.080043829,636429.629141281,374865.641793174,353467.300871274,381790.354840498,414389.685450324,441871.452284975,460381.357166831,498694.711761892,520698.383390049,557946.94935148
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25967.9778950484,30191.3944300631,35887.3868780664,40076.0092827855,40956.0001019289,42815.1228928445,43830.1159676316,45623.9137645108,47814.0222192478,47542.8202465931,46672.7753503658,48471.8915683256,47974.0418469563,47163.5028261595,49486.0820819706
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Australia,AUS,39465.5792756057,39680.2195253923,40480.8378234803,40910.9118086697,41526.7069882679,41566.7602389693,42217.4160906435,43245.2085682074,43127.1068393927,44391.6218823205,45185.0667029676,45970.5855154973,46682.7890773905,45023.9556092349,46529.3540678195,48337.2129965509,49532.4424800307,50034.8195024138,52055.0727660335,53166.401973164,54260.2434625747,53368.4377884888,52999.9625256778,54655.5426064179,56285.9678835737,57824.0390578511,59333.7078054276,60992.00690961,63203.1004132509,65658.4980946472,67456.8477826402
